FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2023,70,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y14-17,14-17 anni,2024,74,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y18-19,18-19 anni,2023,104,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y18-19,18-19 anni,2024,111,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y20-24,20-24 anni,2023,439,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y20-24,20-24 anni,2024,452,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-34,25-34 anni,2023,1065,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-34,25-34 anni,2024,1004,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y35-44,35-44 anni,2023,1090,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y35-44,35-44 anni,2024,1119,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-54,45-54 anni,2023,1293,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-54,45-54 anni,2024,1243,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y55-59,55-59 anni,2023,545,,
