FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,57,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,54,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,4,Licenza di scuola media,2023,666,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,4,Licenza di scuola media,2024,627,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,7,Diploma,2023,1048,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,7,Diploma,2024,1084,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,11,Laurea e post-laurea,2023,384,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,11,Laurea e post-laurea,2024,357,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,2155,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y25-44,25-44 anni,99,Totale,2024,2123,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,130,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,106,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,4,Licenza di scuola media,2023,968,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,4,Licenza di scuola media,2024,1011,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,7,Diploma,2023,874,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,7,Diploma,2024,895,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,11,Laurea e post-laurea,2023,262,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,11,Laurea e post-laurea,2024,258,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,2235,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y45-64,45-64 anni,99,Totale,2024,2270,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,182,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,210,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,4,Licenza di scuola media,2023,273,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,4,Licenza di scuola media,2024,271,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,7,Diploma,2023,230,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,7,Diploma,2024,257,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,11,Laurea e post-laurea,2023,102,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,11,Laurea e post-laurea,2024,103,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2023,787,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE65,65 anni e più,99,Totale,2024,841,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,376,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,372,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,4,Licenza di scuola media,2023,2114,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,4,Licenza di scuola media,2024,2139,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,7,Diploma,2023,2522,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,7,Diploma,2024,2602,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,11,Laurea e post-laurea,2023,779,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,11,Laurea e post-laurea,2024,757,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,99,Totale,2023,5791,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,1,Maschi,Y_GE14,14 anni e più,99,Totale,2024,5870,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,12,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,20,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,4,Licenza di scuola media,2023,271,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,4,Licenza di scuola media,2024,288,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,7,Diploma,2023,627,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,7,Diploma,2024,695,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,11,Laurea e post-laurea,2023,354,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,11,Laurea e post-laurea,2024,364,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2023,1264,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y25-44,25-44 anni,99,Totale,2024,1367,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,90,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,109,,
