STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2006,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2009,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2012,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2017,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2020,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,AT,Austria,2023,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2006,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2009,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2012,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2017,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2020,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BE,Belgium,2023,,15,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2006,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2009,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2012,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2014,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2017,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2020,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,BG,Bulgaria,2023,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2006,,16,,,,,
