Country;Year;Variable;Data;Unit;Data in USD;Exchange Rate;Source;Link;Note
Italy;2019;Number of cigarettes manufactured;;number;;;;;
Italy;2018;Number of cigarettes manufactured;;number;;;;;
Italy;2017;Number of cigarettes manufactured;;number;;;;;
Italy;2016;Number of cigarettes manufactured;5908800000;number;;;Euromonitor International;;
Italy;2015;Number of cigarettes manufactured;5722300000;number;;;Euromonitor International;;
Italy;2014;Number of cigarettes manufactured;5395300000;number;;;Euromonitor International;;
Italy;2013;Number of cigarettes manufactured;4980100000;number;;;Euromonitor International;;
Italy;2012;Number of cigarettes manufactured;6450900000;number;;;Euromonitor International;;
Italy;2011;Number of cigarettes manufactured;8329600000;number;;;Euromonitor International;;
Italy;2010;Number of cigarettes manufactured;12411100000;number;;;Euromonitor International;;
